name,description
ami,Acute myocardial infarction
append,Appendicitis
blasto,Blastomycosis
cocci,Coccidioidomycosis
colon_cancer,Colon Cancer
crohns_uc,Crohn's Disease & Ulcerative Colitis
cvst,Cerebral Venous Sinus Thrombosis
dengue,Dengue
diabetes10,
endocarditis,Endocarditis
epidural_abs,Epidural Abscess
histo,Histoplasmosis
hsv_enceph,HSV Encephalitis
lung_cancer,Lung Cancer
meningitis,Meningitis
pcp,pneumocystis pneumonia
pe,Pulmonary Embolism
sarcoid_lung,Sarcoidosis Lung
sarcoid_skin,Sarcoidosis Skin
sarcoid,Sarcoidosis
sepsis_revised10,Sepsis
sepsis,Sepsis
stroke,Stroke
tb,Tuberculosis
